ptype,adapter,human_readable_profile,layer,target_module,matrix_rows,matrix_columns,rank,lora_alpha,scale,a_norm,b_norm,effective_update_frobenius_norm,effective_update_spectral_norm,spectral_to_frobenius_ratio
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,8,up_proj,14336,4096,16,32.0,2.0,3.3428244832764835,4.0077753656075075,7.264457101866264,3.8068609111113587,0.5240392857620927
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,8,v_proj,1024,4096,16,32.0,2.0,3.2931893065264135,0.8716412059191647,1.6094652090066273,0.9253055583113816,0.5749149177834583
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,9,down_proj,4096,14336,16,32.0,2.0,5.1844878230091656,1.9670053444560713,6.170800915445858,4.0134207070713614,0.6503889465993865
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,9,gate_proj,14336,4096,16,32.0,2.0,3.6246480066741373,4.451360463235398,9.544269647347038,6.218311776213211,0.6515230610591222
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,9,k_proj,1024,4096,16,32.0,2.0,3.411668775923346,1.0411434883125332,2.234217841937395,1.5279635196861432,0.6838919155533976
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,9,o_proj,4096,4096,16,32.0,2.0,3.16157393307753,1.9580852733627836,3.3255274406855913,1.4747044861849987,0.4434498023209736
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,9,q_proj,4096,4096,16,32.0,2.0,3.265641382779416,2.000213891426245,3.486855898495528,1.564215924968731,0.44860354729418056
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,9,up_proj,14336,4096,16,32.0,2.0,3.3133897156708554,4.035040813463956,6.967843534994334,2.928213355849097,0.4202467149474357
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,9,v_proj,1024,4096,16,32.0,2.0,3.278684461867402,0.871765249122381,1.5732266888428255,0.8075298190460214,0.513295270651678
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,10,down_proj,4096,14336,16,32.0,2.0,5.099459294218111,1.9179828794540255,5.997186990374173,4.130521787662928,0.6887432048213021
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,10,gate_proj,14336,4096,16,32.0,2.0,3.523251773013137,4.315257360743201,8.908376036238955,5.964196322341419,0.6695043291930293
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,10,k_proj,1024,4096,16,32.0,2.0,3.3616913685530725,0.9974294039307431,2.0132173800482436,1.2929429272639492,0.642227183252792
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,10,o_proj,4096,4096,16,32.0,2.0,3.102392509875985,1.89303889185129,3.0625291041542013,1.3844065696880683,0.4520468288154959
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,10,q_proj,4096,4096,16,32.0,2.0,3.3038097211986464,2.016233570492348,3.671183564273927,1.9547749054554557,0.5324644957768718
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,10,up_proj,14336,4096,16,32.0,2.0,3.306114151568639,3.9868928010581026,7.008243629576076,3.2929304776591732,0.4698652974566126
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,10,v_proj,1024,4096,16,32.0,2.0,3.2442441100423713,0.8498892506991378,1.5109407100306167,0.7984079073467168,0.5284177612307094
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,11,down_proj,4096,14336,16,32.0,2.0,5.107415396059571,1.9149620804523413,5.818311205051925,3.7511492792008365,0.6447144449653686
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,11,gate_proj,14336,4096,16,32.0,2.0,3.487443491914341,4.239213573822997,8.614954269390655,5.6486690303516545,0.655681835761061
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,11,k_proj,1024,4096,16,32.0,2.0,3.3551218973991257,1.0031972103979807,1.983355473238391,1.083547395964489,0.5463203195720081
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,11,o_proj,4096,4096,16,32.0,2.0,3.0033863318800624,1.8168195232279036,2.8454887342068647,1.324779340059077,0.46557180990854935
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,11,q_proj,4096,4096,16,32.0,2.0,3.253915605247538,1.9454965518947778,3.4465155646710106,1.7210006226271546,0.49934508936170546
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,11,up_proj,14336,4096,16,32.0,2.0,3.254823779469183,3.9395735871405866,6.741877249261412,3.356048562059921,0.4977914070487688
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,11,v_proj,1024,4096,16,32.0,2.0,3.236630402805349,0.841910209038824,1.4931990212984267,0.7900345979097209,0.5290886121950027
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,12,down_proj,4096,14336,16,32.0,2.0,5.061516305086817,1.8626495457581522,5.794880367357982,4.146321573777163,0.7155146113339982
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,12,gate_proj,14336,4096,16,32.0,2.0,3.4869006632711366,4.298373581859837,8.48703220081166,5.394271784878527,0.6355898808022249
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,12,k_proj,1024,4096,16,32.0,2.0,3.3393830928776853,0.9904904399198793,1.8915293776721283,1.066442940407294,0.5637993007117587
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,12,o_proj,4096,4096,16,32.0,2.0,2.9944470255342672,1.8666374622613182,2.8921722781047685,1.142478438204568,0.3950243375381603
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,12,q_proj,4096,4096,16,32.0,2.0,3.2581411668406965,1.9306284502733384,3.316744009664475,1.4670193048082825,0.4423070639559812
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,12,up_proj,14336,4096,16,32.0,2.0,3.2797343880130154,3.9902861984058884,6.879582941593907,3.1754045503808803,0.4615693389176847
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,12,v_proj,1024,4096,16,32.0,2.0,3.2391538626534553,0.8475665966778287,1.4945244471963897,0.7258520717776378,0.4856742712635308
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,13,down_proj,4096,14336,16,32.0,2.0,5.072863796618897,1.8830896203196663,5.7933659657298575,4.0003996518367435,0.6905138870046796
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,13,gate_proj,14336,4096,16,32.0,2.0,3.5000862283518104,4.2959397190096285,8.525834288354071,5.187911419411132,0.6084931097590766
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,13,k_proj,1024,4096,16,32.0,2.0,3.4359637106106184,1.0603177097649268,2.010098941836072,0.9320505081974029,0.4636838957519404
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,13,o_proj,4096,4096,16,32.0,2.0,3.045013578647418,1.8370382137296415,2.9242256150158035,1.2191429328135979,0.41691137870940553
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,13,q_proj,4096,4096,16,32.0,2.0,3.294660766874119,2.0193477190307845,3.547467121991738,1.6392901377615565,0.46210157314753947
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,13,up_proj,14336,4096,16,32.0,2.0,3.2869864990705078,3.979123423835539,6.882806618046638,3.014064059731159,0.4379120650910514
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,13,v_proj,1024,4096,16,32.0,2.0,3.2445562588812384,0.8429304122924887,1.4438541214902103,0.6642781836293882,0.46007292131685906
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,14,down_proj,4096,14336,16,32.0,2.0,5.176622868416333,1.9250669927690953,5.757332516449912,3.5517406735104267,0.6169073374453109
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,14,gate_proj,14336,4096,16,32.0,2.0,3.5612021774922185,4.380439611063047,8.635580074678314,5.055434864472998,0.5854192562346565
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,14,k_proj,1024,4096,16,32.0,2.0,3.367295449221304,1.0132049889863968,1.9587115748582966,1.0592183026047681,0.5407729837311027
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,14,o_proj,4096,4096,16,32.0,2.0,3.0632595406072585,1.8770063389045866,2.9676493507430006,1.1923946116636737,0.4017976757817219
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,14,q_proj,4096,4096,16,32.0,2.0,3.275085094076456,1.9821178499203411,3.433334758758972,1.4938701819071536,0.43510763932822394
