ptype,profile,neighbor_rank,neighbor_ptype,neighbor_profile,distance,cosine
26,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,1,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,57.80739107895691,0.015980080773140913
26,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,2,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,57.81054470467319,0.01672029962169134
26,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,60.749327095068764,0.020036727215752573
26,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,61.145190117069326,0.02431802783107211
26,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,62.983677849788236,0.02318230665865947
27,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,1,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,37.02849387772928,0.028940593157515536
27,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,2,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,37.03476101399029,0.02465724463160631
27,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,41.56894950335814,0.026111066976697364
27,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,42.226529101221594,0.028859610535960253
27,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,44.79628133245942,0.03114107234149688
28,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,1,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,60.57520965785091,0.01888575730080437
