layer,target_module,mean_frobenius,median_frobenius,mean_spectral_to_frobenius,median_spectral_to_frobenius
27,v_proj,1.522154664268816,1.5039889564086537,0.7457470437469236,0.7455170685715662
28,down_proj,4.4149879338669775,4.3565751280111265,0.7305367927497002,0.7479781807938249
28,gate_proj,6.978777533695845,6.973690428882714,0.7587375555208091,0.7861917704634007
28,k_proj,1.3786724855813213,1.324410007729223,0.5918111928487712,0.5799343948018352
28,o_proj,2.848326711001268,2.751733136782875,0.5696424320839811,0.5655401913746125
28,q_proj,2.547452926257179,2.4858701328250774,0.49012449337026903,0.47118222687014755
28,up_proj,5.906366818740859,5.934304491995448,0.6166649892540635,0.6300045021200231
28,v_proj,1.3444484791344187,1.3534970633671302,0.67284453230435,0.6693560775581104
29,down_proj,4.162101629763263,3.9736495594064616,0.7292102070895408,0.7261632585765369
29,gate_proj,7.037163521234963,7.071591467035109,0.7332631861134246,0.7442239352650196
29,k_proj,1.6497905866462195,1.6311280739348586,0.7448785379609079,0.7930423770832364
29,o_proj,2.874622955259479,2.8250299109676296,0.6290942522051495,0.6376223593795758
29,q_proj,2.374293474661477,2.370126080189044,0.48266285364812145,0.4684696324203783
29,up_proj,5.929416625205943,5.8786871829625635,0.6992630611899688,0.7172560611979316
29,v_proj,1.5395842569213274,1.544734216504054,0.7451557598398441,0.7522555073940627
30,down_proj,4.061529028534148,3.8915839464510884,0.6943443718869894,0.6941641742815495
30,gate_proj,6.820728780030366,6.719346985765908,0.7763416174363408,0.8007741338508789
30,k_proj,1.4297177353060193,1.3215953712427422,0.6148183618410616,0.5945711489823021
30,o_proj,2.795082764863149,2.759665329273063,0.6149010288987556,0.6225657596252371
30,q_proj,2.7337717763757645,2.6490478457097613,0.5864582100958399,0.5776598240485475
30,up_proj,5.43164516284449,5.3566913890996855,0.621226040467708,0.6243344479980153
30,v_proj,1.5734729924117419,1.555373376170047,0.7401720378889393,0.7539660778237856
31,down_proj,4.1073695173543525,3.997146137421759,0.9225370035446484,0.9414243475267061
31,gate_proj,6.132106162380817,5.952634918727732,0.6774091844656862,0.6788236754295384
31,k_proj,1.1220422217436115,1.100079476136786,0.6316424505274915,0.622701943567932
31,o_proj,2.152515290070882,2.0747931029490414,0.592751941941164,0.5933378046217401
31,q_proj,2.2099030948484586,2.115014571346632,0.48694101246831695,0.48019236554952516
31,up_proj,4.299230683648274,4.339596961426693,0.42835427214984434,0.42484175427208265
31,v_proj,1.1553868999406203,1.129959695484696,0.6021636377434535,0.6038012077971355
