ptype,layer,centroid_norm
26,20,5.686030183333333
26,21,6.641684933333333
26,22,7.25916565
26,23,8.03746125
26,24,8.72987645
26,25,9.541082000000001
26,26,10.591310416666667
26,27,11.608033333333333
26,28,12.567048333333332
26,29,14.617804166666666
26,30,19.345097166666665
26,31,36.54219916666667
27,0,0.117827937
27,1,1.1101287066666667
27,2,1.1889364766666668
27,3,1.3613394333333335
27,4,1.5029298749999997
27,5,1.6590464566666665
27,6,1.8422968833333335
27,7,2.0562234333333334
27,8,2.3015735999999998
27,9,2.4336959666666664
27,10,2.529122566666667
27,11,2.5805719333333337
27,12,2.862311516666667
27,13,3.0672643166666673
27,14,3.2103594333333336
27,15,3.3931838333333335
27,16,4.006314116666666
27,17,4.5502617
27,18,4.997175883333333
27,19,5.311523866666667
27,20,5.681290433333333
27,21,6.62614085
27,22,7.264763266666667
27,23,8.050860566666666
27,24,8.717212183333332
27,25,9.535424633333333
27,26,10.466120416666667
27,27,11.412662500000001
27,28,12.242178166666667
27,29,13.951283833333333
27,30,17.6419975
27,31,32.5494115
28,0,0.12057904666666668
28,1,1.1977603266666665
28,2,1.3064188033333333
28,3,1.4816179833333336
28,4,1.6468981333333332
28,5,1.7942536066666666
28,6,1.9380709416666668
28,7,2.184484466666667
28,8,2.3795522333333334
28,9,2.533967683333333
28,10,2.6281098666666667
28,11,2.687224
28,12,2.940950966666667
28,13,3.141557683333333
28,14,3.2955480666666666
28,15,3.4824908166666666
28,16,4.0511032
28,17,4.602916483333334
28,18,5.071798883333333
28,19,5.392536733333333
28,20,5.769954416666667
28,21,6.799291449999999
28,22,7.450927616666667
28,23,8.211437066666667
28,24,8.9255744
28,25,9.69844935
28,26,10.681028166666666
28,27,11.676716999999998
28,28,12.563489833333334
28,29,14.690777500000001
28,30,18.80022
28,31,35.1898905
29,0,0.11298192683333334
29,1,1.0418579399999999
29,2,1.15205114
29,3,1.3094611133333334
29,4,1.484088975
29,5,1.66073509
29,6,1.8214040333333334
29,7,2.0489344666666667
29,8,2.2711756333333333
29,9,2.433852583333333
29,10,2.54553395
29,11,2.6228501333333334
29,12,2.8773168666666664
29,13,3.0895001333333334
29,14,3.2307390166666665
29,15,3.40808795
29,16,3.9741918333333337
29,17,4.5511067
29,18,5.016441283333333
29,19,5.321424183333334
29,20,5.701845466666668
29,21,6.693774433333334
29,22,7.345805783333334
29,23,8.117501599999999
29,24,8.847561566666666
29,25,9.642216416666667
29,26,10.591781166666665
29,27,11.6564405
29,28,12.542853
29,29,14.456740000000002
29,30,18.868645666666666
29,31,36.04177883333333
30,0,0.12297393733333334
30,1,1.0584086533333334
30,2,1.1635311216666666
30,3,1.3627800566666668
30,4,1.5448335333333334
30,5,1.6776830166666665
30,6,1.8413714500000002
30,7,2.06681345
30,8,2.2789989333333334
30,9,2.4336536333333334
30,10,2.5265706
30,11,2.59960115
30,12,2.907287116666667
30,13,3.0920781500000003
30,14,3.296244983333333
30,15,3.500265133333333
30,16,4.095617866666667
30,17,4.689211816666667
30,18,5.2223648166666665
30,19,5.549171033333334
30,20,5.940469283333333
30,21,6.960868083333334
30,22,7.60456545
30,23,8.460262
30,24,9.246162883333334
30,25,10.077903166666667
30,26,11.134681583333332
30,27,12.331378
30,28,13.308756500000001
30,29,15.458598166666667
30,30,19.8024265
30,31,37.7693085
31,0,0.11389420916666666
31,1,1.0411319983333334
31,2,1.1451424583333334
31,3,1.3360066833333333
31,4,1.5146595999999999
31,5,1.6444900716666666
31,6,1.81720525
31,7,2.0776249166666667
31,8,2.2708430333333336
31,9,2.402845016666667
31,10,2.4810218833333333
31,11,2.5794685833333335
31,12,2.858613383333333
31,13,3.0694923000000003
31,14,3.2631601333333333
31,15,3.490481733333333
31,16,4.0239380166666665
31,17,4.548172
31,18,5.057603933333334
31,19,5.37031495
31,20,5.763343516666667
31,21,6.754383933333333
31,22,7.4492164999999995
31,23,8.29374745
31,24,8.9750613
31,25,9.81552745
31,26,10.740251833333334
31,27,11.761853833333333
31,28,12.677578333333335
31,29,14.608343499999998
31,30,18.681627
31,31,34.4506155
