representation,prompt_group,pooling_rule,layer,target,procrustes_disparity,mean_canonical_correlation,leave_profile_out_multivariate_r2,leave_profile_out_O_r2,leave_profile_out_C_r2,leave_profile_out_E_r2,leave_profile_out_A_r2,leave_profile_out_N_r2
activation,ipip_stems,final_token,15,row_weighted_continuous,1.0444368371494888,0.4944988972129436,-0.10483680455942634,-0.4183801746172435,0.022878124842917735,-0.11458331881756911,0.24379456460676852,-0.25789321881200533
activation,ipip_stems,final_token,15,unique_tuple_weighted_continuous,1.010116169199418,0.511367491679823,-0.056781616677203314,-0.27789153621728224,0.10547554496827138,-0.06816109875597531,0.2715528066664713,-0.3148838000475016
activation,ipip_stems,final_token,16,row_weighted_continuous,1.056521299769271,0.4878242113024812,-0.08328908056131995,-0.38057265379218363,-0.009104713946084919,0.03838334482340433,0.2774661159678584,-0.342617495859594
activation,ipip_stems,final_token,16,unique_tuple_weighted_continuous,1.0282914234168834,0.5005694896048097,-0.041329087033417124,-0.2574915522909489,0.06562449247310453,0.0993214545768879,0.30362071955786574,-0.41772054948399484
activation,ipip_stems,final_token,17,row_weighted_continuous,1.0834007398435637,0.4752489575745994,-0.10953977213463487,-0.34933455114679224,-0.1844032788752452,0.09724437760393345,0.17989223727325532,-0.2910976455283256
activation,ipip_stems,final_token,17,unique_tuple_weighted_continuous,1.0516484961768722,0.4877878484656598,-0.0760949010456318,-0.2388837210968091,-0.117368374686738,0.15199056173547265,0.18980117009094,-0.3660141412710245
activation,ipip_stems,final_token,18,row_weighted_continuous,1.0781987941719238,0.47762089673860403,-0.1765397847328494,-0.19136877702706934,-0.5196486609321371,0.04623822733289484,0.22524223618632644,-0.4431619492242618
activation,ipip_stems,final_token,18,unique_tuple_weighted_continuous,1.0572566457292578,0.48400156518777226,-0.1607155988321222,-0.10378693762188096,-0.44057129032869713,0.05729880824573985,0.22891865325785532,-0.5454372277136281
activation,ipip_stems,final_token,19,row_weighted_continuous,1.1375581902731515,0.44553242594908105,-0.248875231725097,-0.20884893474188249,-0.233158404782289,-0.14164706689584383,-0.12061149806059612,-0.5401102541448737
activation,ipip_stems,final_token,19,unique_tuple_weighted_continuous,1.119968219417573,0.45085546113395625,-0.21129397225052396,-0.11629872947692954,-0.18752680633419172,-0.12404877001509163,-0.054676867312800415,-0.5739186881136065
activation,ipip_stems,final_token,20,row_weighted_continuous,1.1003589419051358,0.46386433861393916,-0.18412129583722386,-0.2641213806096696,0.1263380938927623,-0.5633043280437775,0.054489930088522986,-0.27400879451395754
activation,ipip_stems,final_token,20,unique_tuple_weighted_continuous,1.0735532381457866,0.4742928307549568,-0.15445126590166977,-0.17164375086014738,0.17828192458202097,-0.5321212985656465,0.09616457557713975,-0.34293778024171573
activation,ipip_stems,final_token,21,row_weighted_continuous,1.0725898021980333,0.47924289593757835,-0.2310541341523571,-0.29320741980061027,0.10689379620390782,-0.5280628378313825,-0.17762199306160253,-0.26327221627209796
activation,ipip_stems,final_token,21,unique_tuple_weighted_continuous,1.0551184577283568,0.48578954611571146,-0.20970187812751329,-0.19885557824546352,0.1359787153892853,-0.5273049724499415,-0.12379420705672284,-0.3345333482747239
activation,ipip_stems,final_token,22,row_weighted_continuous,1.1509184599864115,0.4403581905875463,-0.2324036472447924,-0.12593591526443126,-0.4987598536393687,-0.2599750822235809,-0.05971512627621722,-0.21763225882036386
activation,ipip_stems,final_token,22,unique_tuple_weighted_continuous,1.1320431955759687,0.4468816645006076,-0.22310102376981175,-0.05625426933326305,-0.5065341387333713,-0.2209273817290731,-0.07264733459007644,-0.2591419944632749
activation,ipip_stems,final_token,23,row_weighted_continuous,1.1021333729884777,0.46463724008007573,-0.29827489800808593,-0.1315017609435405,-0.26292400073715827,-0.31897412946222947,-0.61615955339683,-0.16181504550067127
activation,ipip_stems,final_token,23,unique_tuple_weighted_continuous,1.086636703347372,0.4700799346887388,-0.2912707789708767,-0.04704683543976462,-0.24371606453831207,-0.2619490830277984,-0.6743927117436272,-0.22924920010488137
activation,ipip_stems,final_token,24,row_weighted_continuous,1.0911247963880868,0.4717808585486779,-0.19256762374732964,-0.12773384815290645,-0.07428772846208753,-0.1954199790085389,-0.4071229444588855,-0.15827361865422973
activation,ipip_stems,final_token,24,unique_tuple_weighted_continuous,1.0819217443328553,0.47453558187198563,-0.18207265647158052,-0.058156558645080736,-0.039103082600427275,-0.15024118731009106,-0.4389893527547739,-0.22387310104752967
activation,ipip_stems,final_token,25,row_weighted_continuous,1.1003743753159343,0.4660217932467295,-0.1798591630827512,-0.14789935183440628,0.00427608948867797,-0.19307762363776715,-0.35910383544471447,-0.2034910939855461
activation,ipip_stems,final_token,25,unique_tuple_weighted_continuous,1.08497812787853,0.4724100697081595,-0.16148894651427365,-0.0801269220346974,0.05349727564735596,-0.16870386928224734,-0.35340354736229673,-0.25870766953948277
activation,ipip_stems,final_token,26,row_weighted_continuous,1.0683611271197644,0.48480437154395195,-0.16798350142659846,-0.3043925543165098,0.13057936529855485,-0.20101330893181624,-0.19558243058993763,-0.2695085785932836
activation,ipip_stems,final_token,26,unique_tuple_weighted_continuous,1.0461258734986902,0.4949810593298092,-0.135562228776839,-0.21799894033718914,0.22179683298530017,-0.20176818674621577,-0.14364077514850804,-0.33620007463758217
activation,ipip_stems,final_token,27,row_weighted_continuous,1.2359305223399244,0.3889957792781342,-0.24092369266682018,-0.12418008109267831,-0.27043337761680286,-0.10764411604798374,-0.3551615511283468,-0.3471993374482891
activation,ipip_stems,final_token,27,unique_tuple_weighted_continuous,1.2066087961675356,0.40274025407305547,-0.2082100879803816,-0.06978318270486805,-0.2710590337016996,-0.06251612546088037,-0.2927625486716017,-0.3449295493628586
activation,ipip_stems,final_token,28,row_weighted_continuous,1.2901010322281512,0.356842335540387,-0.3289294728545851,-0.19159634003669201,-0.2982892372942014,-0.2493927809116483,-0.4730673591994021,-0.4323016468309817
activation,ipip_stems,final_token,28,unique_tuple_weighted_continuous,1.2608936755625804,0.3692082628815206,-0.2871140066149399,-0.13075420799234072,-0.301257784763199,-0.19638188962003333,-0.39928315830851013,-0.40789299239061627
activation,ipip_stems,final_token,29,row_weighted_continuous,1.2823162641985628,0.35703278702703567,-0.34949261381302754,-0.26467029550783905,-0.26022748173614163,-0.22461069092836072,-0.6128412744019724,-0.38511332649082375
activation,ipip_stems,final_token,29,unique_tuple_weighted_continuous,1.256716607095758,0.3678106247745746,-0.2880894838049203,-0.18567430282852992,-0.2525116804375285,-0.14751087544146824,-0.4911538156458233,-0.3635967446712516
activation,ipip_stems,final_token,30,row_weighted_continuous,1.2608322401694418,0.36290625326095,-0.3282773953622494,-0.23724571414092965,-0.3151999329267463,-0.32091317270512865,-0.41426965924551284,-0.3537584977929298
activation,ipip_stems,final_token,30,unique_tuple_weighted_continuous,1.2318073850893922,0.3772415590638448,-0.2659579834282925,-0.1614443781842574,-0.26824772051037615,-0.23287713702561597,-0.3281759925842376,-0.3390446888369756
activation,ipip_stems,final_token,31,row_weighted_continuous,1.2163894038971477,0.3700136293948949,-0.27855129572957776,-0.40376323069528364,-0.055096525069870284,-0.2346254904488596,-0.09466128578132915,-0.6046099466525461
activation,ipip_stems,final_token,31,unique_tuple_weighted_continuous,1.182812316925203,0.38480793711563444,-0.2331406590241556,-0.314725575310149,-0.036038424823530146,-0.10740996513678214,-0.11037027455672255,-0.5971590552935941
activation,ipip_stems,mean_tokens,0,row_weighted_continuous,1.2522329694307222,0.38403691591056965,-0.23147323498749478,-0.4896926922259961,-0.0929058241873093,-0.1137340744191011,-0.29648952029461206,-0.1645440638104554
activation,ipip_stems,mean_tokens,0,unique_tuple_weighted_continuous,1.2540376766185077,0.3887904892052917,-0.23969996519693262,-0.4193172081559722,-0.06528898616955003,-0.2271282062699873,-0.29364918014990526,-0.1931162452392483
activation,ipip_stems,mean_tokens,1,row_weighted_continuous,1.4017002206394837,0.3974632325989968,-0.18427810986163878,-0.20114806416015463,-0.21921868568248293,0.09035079163732396,-0.3888751675550304,-0.2024994235478499
activation,ipip_stems,mean_tokens,1,unique_tuple_weighted_continuous,1.3982953999894505,0.3845250501519438,-0.17562774636121825,-0.17527923939629098,-0.21599200671111451,-0.09609975191910958,-0.1617324421420252,-0.2290352916375511
