representation,prompt_group,pooling_rule,layer,factorial_model,exposure_covariates_added,profile_disjoint_folds,reconstruction_rmse,explained_variance
activation,ipip_stems,mean_tokens,9,through_third_order,True,8,0.1906359734657591,-82.92251548243166
activation,ipip_stems,mean_tokens,10,main_effects,False,8,0.023509241610204814,-0.2232901660609634
activation,ipip_stems,mean_tokens,10,main_effects,True,8,0.023465916088944883,-0.21878548249586638
activation,ipip_stems,mean_tokens,10,main_plus_two_way,False,8,0.031048803345592405,-1.1337423599736924
activation,ipip_stems,mean_tokens,10,main_plus_two_way,True,8,0.03393766203506664,-1.5492714765110418
activation,ipip_stems,mean_tokens,10,through_third_order,False,8,0.07286943675147729,-10.752846690521451
activation,ipip_stems,mean_tokens,10,through_third_order,True,8,0.1917080050599521,-80.3453517696051
activation,ipip_stems,mean_tokens,11,main_effects,False,8,0.02418298928452888,-0.2275031457950445
activation,ipip_stems,mean_tokens,11,main_effects,True,8,0.024285513553108148,-0.2379332568211463
activation,ipip_stems,mean_tokens,11,main_plus_two_way,False,8,0.03188524799257684,-1.133940201338448
activation,ipip_stems,mean_tokens,11,main_plus_two_way,True,8,0.03502729380550195,-1.575228780353617
activation,ipip_stems,mean_tokens,11,through_third_order,False,8,0.07459157220336181,-10.678368344087499
activation,ipip_stems,mean_tokens,11,through_third_order,True,8,0.19502333495247764,-78.83177844904677
activation,ipip_stems,mean_tokens,12,main_effects,False,8,0.024713791786578305,-0.2256817407363343
activation,ipip_stems,mean_tokens,12,main_effects,True,8,0.024842389385743933,-0.23847053621776948
activation,ipip_stems,mean_tokens,12,main_plus_two_way,False,8,0.03250990351760888,-1.120949415340228
activation,ipip_stems,mean_tokens,12,main_plus_two_way,True,8,0.03605497249050425,-1.60873092525939
activation,ipip_stems,mean_tokens,12,through_third_order,False,8,0.07556960791364492,-10.460228775595127
activation,ipip_stems,mean_tokens,12,through_third_order,True,8,0.1969669731002112,-76.85486775453842
activation,ipip_stems,mean_tokens,13,main_effects,False,8,0.025361139325390115,-0.22766925670953642
activation,ipip_stems,mean_tokens,13,main_effects,True,8,0.025722740835232388,-0.26292728103893226
activation,ipip_stems,mean_tokens,13,main_plus_two_way,False,8,0.033422544987199855,-1.1321752292802731
activation,ipip_stems,mean_tokens,13,main_plus_two_way,True,8,0.03728680321894927,-1.6537142836823104
activation,ipip_stems,mean_tokens,13,through_third_order,False,8,0.07710675935909861,-10.34824654707536
activation,ipip_stems,mean_tokens,13,through_third_order,True,8,0.20199242903486558,-76.87786627950247
