representation,prompt_group,pooling_rule,layer,subset,profiles,pairs,target,pearson_r,spearman_rho
activation,ipip_stems,final_token,6,rows_ge_50000,22,231,row_weighted_continuous,-0.0014425604738336605,0.006483771101462255
activation,ipip_stems,final_token,6,rows_ge_50000,22,231,unique_tuple_weighted_continuous,0.0284733305824359,0.021269884538250357
activation,ipip_stems,final_token,6,unique_tuples_ge_10,28,378,row_weighted_continuous,0.05036211828126576,0.05548184667464078
activation,ipip_stems,final_token,6,unique_tuples_ge_10,28,378,unique_tuple_weighted_continuous,0.06282721462998653,0.05966508950768799
activation,ipip_stems,final_token,6,unique_tuples_ge_25,24,276,row_weighted_continuous,-0.012322197720606545,0.0011227008747021303
activation,ipip_stems,final_token,6,unique_tuples_ge_25,24,276,unique_tuple_weighted_continuous,0.0311130910702782,0.03210684779041396
activation,ipip_stems,final_token,6,exposure_quartile_1,8,28,row_weighted_continuous,-0.12963565358837711,-0.2517788724685276
activation,ipip_stems,final_token,6,exposure_quartile_1,8,28,unique_tuple_weighted_continuous,0.00286958097371693,-0.1412151067323481
activation,ipip_stems,final_token,6,exposure_quartile_2,8,28,row_weighted_continuous,0.08346543242298093,-0.042692939244663386
activation,ipip_stems,final_token,6,exposure_quartile_2,8,28,unique_tuple_weighted_continuous,0.06144571748497477,-0.07115489874110564
activation,ipip_stems,final_token,6,exposure_quartile_3,8,28,row_weighted_continuous,-0.2001910906612364,-0.09031198686371099
activation,ipip_stems,final_token,6,exposure_quartile_3,8,28,unique_tuple_weighted_continuous,-0.09920273862637946,-0.046524356869184456
activation,ipip_stems,final_token,6,exposure_quartile_4,8,28,row_weighted_continuous,0.24058413275203377,0.20087575259989054
activation,ipip_stems,final_token,6,exposure_quartile_4,8,28,unique_tuple_weighted_continuous,0.2769589271609124,0.26327312534209085
activation,ipip_stems,final_token,6,pair_row_ratio_le_2_0,32,181,row_weighted_continuous,0.05934210196532653,0.03760144091635804
activation,ipip_stems,final_token,6,pair_row_ratio_le_2_0,32,181,unique_tuple_weighted_continuous,0.09796794677389163,0.062153684253131766
activation,ipip_stems,final_token,6,pair_row_ratio_le_1_5,32,117,row_weighted_continuous,0.00027195177580185016,-0.029350057696054182
activation,ipip_stems,final_token,6,pair_row_ratio_le_1_5,32,117,unique_tuple_weighted_continuous,0.06697332719297033,-0.0026899848641520176
activation,ipip_stems,final_token,7,all_32,32,496,row_weighted_continuous,0.1327392559317971,0.12483099968333952
activation,ipip_stems,final_token,7,all_32,32,496,unique_tuple_weighted_continuous,0.07415557223927174,0.058914975680082436
