representation,prompt_group,pooling_rule,layer,target_geometry,pearson_r,spearman_rho,mantel_permutations,mantel_two_sided_p,null_mean,null_sd,mantel_two_sided_q
activation,naturalistic_behavioral,mean_tokens,22,unique_tuple_weighted_continuous,0.013349665827674079,0.021284697431903248,1000,0.6973026973026973,0.0014052702074092362,0.03567365730112251,0.7513657228847103
activation,naturalistic_behavioral,mean_tokens,22,binary_hamming,0.03410370270194762,0.04882843545379634,1000,0.01098901098901099,-0.00045128092926067365,0.013290488034538663,0.0442811626243579
activation,naturalistic_behavioral,mean_tokens,23,row_weighted_continuous,0.07372336190333914,0.0811632256884415,1000,0.22477522477522477,-0.0037372315696480108,0.06087286577673102,0.38850743165463975
activation,naturalistic_behavioral,mean_tokens,23,unique_tuple_weighted_continuous,0.014709209015645701,0.021497804028471904,1000,0.6623376623376623,0.000915079678573219,0.0359975588445915,0.7261839284311195
activation,naturalistic_behavioral,mean_tokens,23,binary_hamming,0.034655261351164965,0.0480879163988363,1000,0.007992007992007992,0.00019415482984333764,0.013283194328718594,0.03511327382295124
activation,naturalistic_behavioral,mean_tokens,24,row_weighted_continuous,0.07774982705647769,0.08499363728804891,1000,0.2037962037962038,0.001197851221504681,0.059947283155385396,0.3691096137904649
activation,naturalistic_behavioral,mean_tokens,24,unique_tuple_weighted_continuous,0.014288555242536312,0.02080488797889979,1000,0.6923076923076923,-0.0027441821470284337,0.03432783860393089,0.7483516483516484
activation,naturalistic_behavioral,mean_tokens,24,binary_hamming,0.03525785594016598,0.04840376209520599,1000,0.014985014985014986,-6.149207004430004e-05,0.014687888994104467,0.05546084350432177
activation,naturalistic_behavioral,mean_tokens,25,row_weighted_continuous,0.07304049219815123,0.08077123542820953,1000,0.23676323676323677,0.004928188291840447,0.059220674399728744,0.4020842000891876
activation,naturalistic_behavioral,mean_tokens,25,unique_tuple_weighted_continuous,0.012924320117788449,0.01852365414382679,1000,0.7172827172827173,0.0005331854119944718,0.03469484006033577,0.7680338529395133
