representation,prompt_group,pooling_rule,layer,transformation,interaction_order,energy
activation,ipip_stems,final_token,6,profile_centered,0,0.0
activation,ipip_stems,final_token,6,profile_centered,1,0.14979377975357877
activation,ipip_stems,final_token,6,profile_centered,2,0.2375813074437605
activation,ipip_stems,final_token,6,profile_centered,3,0.22002028669025975
activation,ipip_stems,final_token,6,profile_centered,4,0.10232818785990376
activation,ipip_stems,final_token,6,profile_centered,5,0.017927489444445506
activation,ipip_stems,final_token,6,raw,0,2.6862592155446494
activation,ipip_stems,final_token,6,raw,1,0.14979377975357877
activation,ipip_stems,final_token,6,raw,2,0.2375813074437605
activation,ipip_stems,final_token,6,raw,3,0.22002028669025975
activation,ipip_stems,final_token,6,raw,4,0.10232818785990376
activation,ipip_stems,final_token,6,raw,5,0.017927489444445506
activation,ipip_stems,final_token,6,unit_norm,0,0.0014041111684603412
activation,ipip_stems,final_token,6,unit_norm,1,0.19722638442092766
activation,ipip_stems,final_token,6,unit_norm,2,0.32518541729416495
activation,ipip_stems,final_token,6,unit_norm,3,0.30334557563866166
activation,ipip_stems,final_token,6,unit_norm,4,0.1461954580914655
activation,ipip_stems,final_token,6,unit_norm,5,0.026643053386319615
activation,ipip_stems,final_token,7,common_pc1_removed,0,1.239103499098349e-33
activation,ipip_stems,final_token,7,common_pc1_removed,1,0.13327124543508623
activation,ipip_stems,final_token,7,common_pc1_removed,2,0.26818337924661506
activation,ipip_stems,final_token,7,common_pc1_removed,3,0.2648011735185516
activation,ipip_stems,final_token,7,common_pc1_removed,4,0.13277165470215785
activation,ipip_stems,final_token,7,common_pc1_removed,5,0.023567005343555724
activation,ipip_stems,final_token,7,exposure_residualized,0,2.6016324871124925e-28
activation,ipip_stems,final_token,7,exposure_residualized,1,0.10862932071653987
activation,ipip_stems,final_token,7,exposure_residualized,2,0.23262959500596425
activation,ipip_stems,final_token,7,exposure_residualized,3,0.23959032226149785
activation,ipip_stems,final_token,7,exposure_residualized,4,0.1187875557964598
activation,ipip_stems,final_token,7,exposure_residualized,5,0.023041734873591894
activation,ipip_stems,final_token,7,profile_centered,0,0.0
activation,ipip_stems,final_token,7,profile_centered,1,0.1962131237568341
activation,ipip_stems,final_token,7,profile_centered,2,0.31235115812091885
activation,ipip_stems,final_token,7,profile_centered,3,0.2901835342947457
activation,ipip_stems,final_token,7,profile_centered,4,0.13907589061141368
activation,ipip_stems,final_token,7,profile_centered,5,0.023689946663230148
activation,ipip_stems,final_token,7,raw,0,3.585556849605803
activation,ipip_stems,final_token,7,raw,1,0.1962131237568341
activation,ipip_stems,final_token,7,raw,2,0.31235115812091885
activation,ipip_stems,final_token,7,raw,3,0.2901835342947457
activation,ipip_stems,final_token,7,raw,4,0.13907589061141368
activation,ipip_stems,final_token,7,raw,5,0.023689946663230148
activation,ipip_stems,final_token,7,unit_norm,0,0.0011895748276832627
activation,ipip_stems,final_token,7,unit_norm,1,0.19604545489903405
activation,ipip_stems,final_token,7,unit_norm,2,0.32425614354598187
activation,ipip_stems,final_token,7,unit_norm,3,0.3035409130289469
activation,ipip_stems,final_token,7,unit_norm,4,0.14876156726055784
activation,ipip_stems,final_token,7,unit_norm,5,0.02620634643779583
activation,ipip_stems,final_token,8,common_pc1_removed,0,5.2887423711639536e-34
activation,ipip_stems,final_token,8,common_pc1_removed,1,0.1778043517239966
activation,ipip_stems,final_token,8,common_pc1_removed,2,0.33351472943562877
activation,ipip_stems,final_token,8,common_pc1_removed,3,0.33953928315831916
activation,ipip_stems,final_token,8,common_pc1_removed,4,0.16798335103989118
activation,ipip_stems,final_token,8,common_pc1_removed,5,0.03054472660203926
activation,ipip_stems,final_token,8,exposure_residualized,0,3.9944488890441666e-28
activation,ipip_stems,final_token,8,exposure_residualized,1,0.13816334767304816
activation,ipip_stems,final_token,8,exposure_residualized,2,0.28342064304638337
activation,ipip_stems,final_token,8,exposure_residualized,3,0.30593792408090065
activation,ipip_stems,final_token,8,exposure_residualized,4,0.1519529351931589
activation,ipip_stems,final_token,8,exposure_residualized,5,0.030109275358921158
activation,ipip_stems,final_token,8,profile_centered,0,0.0
activation,ipip_stems,final_token,8,profile_centered,1,0.25619993915820316
activation,ipip_stems,final_token,8,profile_centered,2,0.39548947403426915
activation,ipip_stems,final_token,8,profile_centered,3,0.37396487179058246
activation,ipip_stems,final_token,8,profile_centered,4,0.1772672839930884
activation,ipip_stems,final_token,8,profile_centered,5,0.030545052107126262
activation,ipip_stems,final_token,8,raw,0,5.113534545035547
activation,ipip_stems,final_token,8,raw,1,0.25619993915820316
activation,ipip_stems,final_token,8,raw,2,0.39548947403426915
activation,ipip_stems,final_token,8,raw,3,0.37396487179058246
activation,ipip_stems,final_token,8,raw,4,0.1772672839930884
activation,ipip_stems,final_token,8,raw,5,0.030545052107126262
activation,ipip_stems,final_token,8,unit_norm,0,0.001639979626094237
activation,ipip_stems,final_token,8,unit_norm,1,0.19816656800191548
activation,ipip_stems,final_token,8,unit_norm,2,0.31863310837314335
activation,ipip_stems,final_token,8,unit_norm,3,0.30532689683219366
activation,ipip_stems,final_token,8,unit_norm,4,0.14957263075432176
activation,ipip_stems,final_token,8,unit_norm,5,0.026660816412331534
